ref,value,footprint
C1,47uF,Capacitors_SMD:C_1210_HandSoldering
C2,10uF,Capacitors_SMD:C_0805_HandSoldering
C3,10uF,Capacitors_SMD:C_0805_HandSoldering
C4,10uF,Capacitors_SMD:C_0805_HandSoldering
C5,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C6,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C7,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C8,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C9,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C10,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C11,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C12,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C13,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C14,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C15,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C16,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C17,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C18,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C19,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C20,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C21,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C22,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C23,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C24,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C25,0.1uF,Capacitors_SMD:C_0603_HandSoldering
C26,15pF,Capacitors_SMD:C_0603_HandSoldering
C27,15pF,Capacitors_SMD:C_0603_HandSoldering
C28,0.1u,Capacitors_SMD:C_0603_HandSoldering
C29,.1uF,Capacitors_SMD:C_0603_HandSoldering
C30,.1uF,Capacitors_SMD:C_0603_HandSoldering
C31,27pF,Capacitors_SMD:C_0603_HandSoldering
C32,27pF,Capacitors_SMD:C_0603_HandSoldering
C33,.1uF,Capacitors_SMD:C_0603_HandSoldering
C34,C,Capacitors_SMD:C_0603_HandSoldering
C35,C,Capacitors_SMD:C_0603_HandSoldering
D1,LED,LEDs:LED-0805
D2,LED,LEDs:LED-0805
D3,LED,LEDs:LED-0805
D4,LED,LEDs:LED-0805
D5,LED,LEDs:LED-0805
D6,LED,LEDs:LED-0805
D7,LED,LEDs:LED-0805
D8,LED,LEDs:LED-0805
D9,LED,LEDs:LED-0805
D10,LED,LEDs:LED-0805
D11,LED,LEDs:LED-0805
GS3,GS2,kevin:GS
GS4,GS2,kevin:GS
GS5,GS2,kevin:GS
P1,CONN_2,Pin_Headers:Pin_Header_Straight_1x02
P2,CONN_20X2,Pin_Headers:Pin_Header_Straight_2x20
P3,CONN_20X2,Pin_Headers:Pin_Header_Straight_2x20
P4,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06
P23,CONN_4,Pin_Headers:Pin_Header_Straight_1x04
P100,GND,Pin_Headers:Pin_Header_Straight_1x12
P101,VCC AUX +3.3 V,Pin_Headers:Pin_Header_Straight_1x12
R1,2.4k,Resistors_SMD:R_0603_HandSoldering
R2,10k,Resistors_SMD:R_0603_HandSoldering
R3,27,Resistors_SMD:R_0603_HandSoldering
R4,27,Resistors_SMD:R_0603_HandSoldering
R5,2.2k,Resistors_SMD:R_0603_HandSoldering
R6,470,Resistors_SMD:R_0603_HandSoldering
R7,1k,Resistors_SMD:R_0603_HandSoldering
R8,330,Resistors_SMD:R_0603_HandSoldering
R9,2.4k,Resistors_SMD:R_0603_HandSoldering
R10,4.7K,Resistors_SMD:R_0603_HandSoldering
R11,10K,Resistors_SMD:R_0603_HandSoldering
R12,330,Resistors_SMD:R_0603_HandSoldering
R13,10K,Resistors_SMD:R_0603_HandSoldering
R14,4.7K,Resistors_SMD:R_0603_HandSoldering
R15,4.7K,Resistors_SMD:R_0603_HandSoldering
R16,2.4k,Resistors_SMD:R_0603_HandSoldering
R17,4.7k,Resistors_SMD:R_0603_HandSoldering
R18,330,Resistors_SMD:R_0603_HandSoldering
R19,68,Resistors_SMD:R_0603_HandSoldering
R20,68,Resistors_SMD:R_0603_HandSoldering
R21,68,Resistors_SMD:R_0603_HandSoldering
R100,R,Resistors_SMD:R_0603_HandSoldering
R101,R,Resistors_SMD:R_0603_HandSoldering
R102,R,Resistors_SMD:R_0603_HandSoldering
R103,R,Resistors_SMD:R_0603_HandSoldering
R104,R,Resistors_SMD:R_0603_HandSoldering
R105,R,Resistors_SMD:R_0603_HandSoldering
R106,R,Resistors_SMD:R_0603_HandSoldering
R107,R,Resistors_SMD:R_0603_HandSoldering
SW1,SW_PUSH,kevin:SW_PUSH_FSMJ
SW2,SW_PUSH,kevin:SW_PUSH_FSMJ
SW3,SW_PUSH,kevin:SW_PUSH_FSMJ
SW4,SW_PUSH,kevin:SW_PUSH_FSMJ
U1,LM317,SOT223
U2,LM317,SOT223
U3,LM317,SOT223
U4,XC6SLX9-2TQG144C,TQFP144
U5,FXO-HC536R,kevin:crystal_FXO-HC53
U6,M25P80,SMD_Packages:SOIC-8-N
U7,93LC46B,SMD_Packages:SOIC-8-N
U9,FT2232D,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm
X1,USBMICRO,kevin:MICRO-B_USB
X2,CRYSTAL,Crystals:Crystal_HC49-SD_SMD
